subject,day,level,time,cst_sd,cst_mean,cst_cv,f_sd,f_mean,f_cv,hpf_cst_sd,hpf_f_sd,bad_wins,window
SFU01,stretch,submax10,pre,1.022454825,64.99845924,1.443930046,0.00049823,0.055360595,0.899972008,1.022454825,0.000237943,0,25
SFU01,stretch,submax10,pre,1.632552486,65.53966878,2.469379404,0.000747627,0.056119163,1.332212548,1.632552486,0.00084649,0,26
SFU01,stretch,submax10,pre,0.763431742,69.08645579,2.502793677,0.001420515,0.056285063,2.523786995,0.763431742,0.000417514,0,27
SFU01,stretch,submax10,pre,2.734651986,67.46892378,5.533724826,0.001322547,0.056886954,2.324868494,2.734651986,0.000726875,0,28
SFU01,stretch,submax10,pre,1.486104969,63.06844191,2.705548416,0.000596353,0.054262852,1.09900712,1.486104969,0.00053365,0,29
SFU01,stretch,submax10,pre,1.626364703,62.72636325,4.676153659,0.000758994,0.055533,1.366743925,1.626364703,0.000633961,0,30
SFU01,stretch,submax10,post,1.06151974,21.82337331,5.133033584,0.000894962,0.053849373,1.661972656,1.06151974,0.000805532,0,1
SFU01,stretch,submax10,post,1.629130734,23.52766631,5.534125479,0.000599229,0.054240591,1.104760727,1.629130734,0.001021124,0,2
SFU01,stretch,submax10,post,1.312852105,26.3224076,15.76803168,0.001764977,0.052383291,3.36935031,1.312852105,0.000990992,0,3
SFU01,stretch,submax10,post,2.60911856,36.30871068,7.543823115,0.002882769,0.056761734,5.078719682,2.60911856,0.001933337,0,4
SFU01,stretch,submax10,post,1.582537059,38.64570545,4.848853391,0.001699812,0.055270477,3.075442214,1.582537059,0.001075645,0,5
SFU01,stretch,submax10,post,1.818632315,38.03281214,4.059151892,0.000640834,0.057254317,1.119275914,1.818632315,0.000662871,0,6
SFU01,stretch,submax10,post,0.668006173,38.06215811,1.799767431,0.000752912,0.055593195,1.354324094,0.668006173,0.000376818,0,7
SFU01,stretch,submax10,post,0.547029789,40.28565435,1.52547795,0.000715527,0.056464492,1.267215543,0.547029789,0.000586323,0,8
SFU01,stretch,submax10,post,1.031035474,39.91413682,2.838928022,0.00114956,0.056285465,2.042373683,1.031035474,0.000383459,0,9
SFU01,stretch,submax10,post,0.720660232,41.84169154,1.725338018,0.000994668,0.055130297,1.804213154,0.720660232,0.000630594,0,10
SFU01,stretch,submax10,post,1.921494569,41.90121901,5.479409659,0.000717504,0.056555215,1.268678411,1.921494569,0.001008285,0,11
SFU01,stretch,submax10,post,1.925036132,43.28598942,4.693642074,0.001878332,0.05356637,3.506550547,1.925036132,0.000685575,0,12
SFU01,stretch,submax10,post,1.739361385,47.08054747,3.623923585,0.000797958,0.055353496,1.441567872,1.739361385,0.000595032,0,13
SFU01,stretch,submax10,post,1.815382544,45.89041854,3.795530086,0.000589645,0.055381857,1.064690429,1.815382544,0.000435342,0,14
SFU01,stretch,submax10,post,1.398128547,47.69606876,3.809532116,0.000346093,0.054922436,0.630147774,1.398128547,0.000297946,0,15
SFU01,stretch,submax10,post,1.945962363,47.61436864,3.518040421,0.000493961,0.055080453,0.896798482,1.945962363,0.000505053,0,16
SFU01,stretch,submax10,post,1.113398868,47.13798422,4.025224639,0.000527828,0.055016077,0.959406288,1.113398868,0.000319017,0,17
SFU01,stretch,submax10,post,1.4887212,47.7550586,3.608290194,0.000755528,0.054740365,1.380202917,1.4887212,0.000408785,0,18
SFU01,stretch,submax10,post,1.031590379,48.42110122,3.018659185,0.001279596,0.056203513,2.276719552,1.031590379,0.000279945,0,19
SFU01,stretch,submax10,post,2.128259034,46.92042203,5.056779537,0.000923009,0.056453719,1.634984322,2.128259034,0.000574561,0,20
SFU01,stretch,submax10,post,0.718500418,48.37762734,1.310329022,0.000603876,0.055112976,1.095705094,0.718500418,0.00046569,0,21
SFU01,stretch,submax10,post,2.442925964,49.2707687,5.193414626,0.00043427,0.056051064,0.774775624,2.442925964,0.000742921,0,22
SFU01,stretch,submax10,post,1.628378197,51.1083281,2.74035162,0.000786925,0.055944828,1.406609464,1.628378197,0.000133909,0,23
