subject,day,level,time,f_sd,cst_sd,fpc_sd,f_cst_r,fpc_cst_r,f_fpc_r,w
SFU01,stretch,submax10,before,0.001019735,6.995099313,0,0,0,0,1
SFU01,stretch,submax10,before,0.000395835,8.982902435,0,0,0,0,2
SFU01,stretch,submax10,before,0.00043549,5.406265893,0,0,0,0,3
SFU01,stretch,submax10,before,0.000406477,5.40741889,0,0,0,0,4
SFU01,stretch,submax10,before,0.00067315,4.747461816,0,0,0,0,5
SFU01,stretch,submax10,before,0.000762826,2.885123983,0.021402803,0,0,0,6
SFU01,stretch,submax10,before,0.000672458,4.187093496,0,0,0,0,7
SFU01,stretch,submax10,before,0.00079535,5.714345474,0,0,0,0,8
SFU01,stretch,submax10,before,0.0008303,4.962224629,0.02221285,0,0,0,9
SFU01,stretch,submax10,before,0.000961296,4.822188657,0,0,0,0,10
SFU01,stretch,submax10,before,0.001085735,4.079023819,0,0,0,0,11
SFU01,stretch,submax10,before,0.000323048,5.088864125,0,0,0,0,12
SFU01,stretch,submax10,before,0.000384751,4.84392729,0,0,0,0,13
SFU01,stretch,submax10,before,0.000518794,3.195895688,0,0,0,0,14
SFU01,stretch,submax10,before,0.000491383,2.064480915,0,0,0,0,15
SFU01,stretch,submax10,before,0.000503386,1.853992454,0,0,0,0,16
SFU01,stretch,submax10,before,0.000711442,1.835545079,0,0,0,0,17
SFU01,stretch,submax10,before,0.00045648,2.045177401,0,0,0,0,18
SFU01,stretch,submax10,before,0.0003828,1.139353421,0,0,0,0,19
SFU01,stretch,submax10,before,0.000851738,6.63940062,0,0,0,0,20
SFU01,stretch,submax10,before,0.000506745,3.030793694,0,0,0,0,21
SFU01,stretch,submax10,before,0.00059224,4.638768934,0,0,0,0,22
SFU01,stretch,submax10,before,0.000485393,2.284703718,0.018379181,0,0,0,23
SFU01,stretch,submax10,before,0.000568972,2.957716876,0,0,0,0,24
SFU01,stretch,submax10,before,0.001006056,2.681657314,0.015473121,0,0,0,25
SFU01,stretch,submax10,before,0.000649691,5.098338596,0,0,0,0,26
SFU01,stretch,submax10,before,0.000517538,9.68344313,0,0,0,0,27
SFU01,stretch,submax10,before,0.000605542,4.415232242,0,0,0,0,28
SFU01,stretch,submax10,before,0.000742497,3.326527268,0,0,0,0,29
SFU01,stretch,submax10,before,0.000552596,5.05767287,0,0,0,0,30
SFU01,stretch,submax10,pre,0.000904116,2.246570089,0.020548189,0.518854688,0.550817831,0.737853965,1
SFU01,stretch,submax10,pre,0.000883919,1.511512594,0.018937076,0.46725784,0.578595409,0.8938007,2
SFU01,stretch,submax10,pre,0.000616529,1.467242357,0.020141519,0.597543767,0.49413038,0.82449782,3
SFU01,stretch,submax10,pre,0.00037661,1.279119497,0.013858045,0.43962018,0.203965771,0.817607789,4
SFU01,stretch,submax10,pre,0.000754858,2.784460123,0.020921933,0.462801558,0.51436608,0.73344419,5
SFU01,stretch,submax10,pre,0.001268331,3.731383194,0.022082737,0.876247709,0.837840975,0.816355775,6
SFU01,stretch,submax10,pre,0.000351763,1.901613328,0.018701798,0.304053407,0.674135548,0.595932045,7
SFU01,stretch,submax10,pre,0.000762427,3.523667885,0.02173582,0.827111172,0.923887856,0.91741317,8
SFU01,stretch,submax10,pre,0.000784384,2.559789606,0.020140257,0.683148889,0.785377119,0.905789955,9
SFU01,stretch,submax10,pre,0.001142239,3.516954667,0.022180149,0.863162199,0.864170817,0.981862449,10
SFU01,stretch,submax10,pre,0.000527491,2.495124283,0.021647502,0.602208746,0.578413474,0.838730831,11
SFU01,stretch,submax10,pre,0.000551276,2.461852101,0.019546165,0.443514957,0.666104211,0.714810664,12
SFU01,stretch,submax10,pre,0.000891877,3.259028323,0.016299818,0.612780046,0.922268196,0.601439906,13
SFU01,stretch,submax10,pre,0.000610996,1.962984874,0.018983982,0.672663433,0.919823355,0.707686671,14
SFU01,stretch,submax10,pre,0.00038076,1.495893667,0.017408084,-0.040312019,0.605462668,0.251426417,15
SFU01,stretch,submax10,pre,0.000628526,1.957515587,0.020997988,0.789559158,0.929287734,0.656908766,16
SFU01,stretch,submax10,pre,0.000453662,1.471913256,0.019218104,0.55647133,0.720855222,0.678776375,17
SFU01,stretch,submax10,pre,0.000773124,1.277039366,0.01234691,0.007174059,0.538613713,0.200884387,18
SFU01,stretch,submax10,pre,0.001085837,2.861696757,0.02099342,0.66170551,0.751495042,0.875334016,19
SFU01,stretch,submax10,pre,0.000561683,1.524744049,0.020232936,0.79241413,0.714809422,0.775362549,20
SFU01,stretch,submax10,pre,0.000526505,2.351935805,0.021069845,0.937023275,0.862316987,0.84071675,21
SFU01,stretch,submax10,pre,0.000544661,1.663114288,0.019321625,0.272466854,0.567167014,0.8223388,22
SFU01,stretch,submax10,pre,0.000579291,1.022494574,0.011309922,-0.054074454,-0.134709043,0.755558457,23
SFU01,stretch,submax10,pre,0.000560185,1.956325707,0.018866059,0.914995785,0.934448259,0.921734783,24
SFU01,stretch,submax10,pre,0.000277041,1.022454825,0.015452955,0.584962016,0.855103235,0.517387689,25
SFU01,stretch,submax10,pre,0.000881042,1.632552486,0.019886226,0.6608883,0.594797165,0.947833545,26
SFU01,stretch,submax10,pre,0.000332955,0.763431742,0.00640611,0.130469169,0.114950478,-0.41867879,27
SFU01,stretch,submax10,pre,0.000670181,2.734651986,0.021148462,0.877059724,0.930734192,0.961475472,28
