subject,day,level,time,meanDR,meanCVISI,meanSDISI,f_sd,w1_fpc_sd,w5_fpc_sd,cst_sd,w1_expl_max_mean,w5_expl_max_mean,w30_f_cst_r,w30_f_cst_lag,w30_w1_f_fpc_r,w30_w1_f_fpc_lag,w30_w1_fpc_cst_r,w30_w1_fpc_cst_lag,w30_w1_fpc_sumfpc_r,w30_w1_fpc_sumfpc_lag,w30_w1_sumfpc_cst_r,w30_w1_sumfpc_cst_lag,w30_w1_f_sumfpc_r,w30_w1_f_sumfpc_lag,w30_w5_f_fpc_r,w30_w5_f_fpc_lag,w30_w5_fpc_cst_r,w30_w5_fpc_cst_lag,w30_w5_sumfpc_cst_r,w30_w5_sumfpc_cst_lag,w30_w5_f_sumfpc_r,w30_w5_f_sumfpc_lag,w1_f_fpc_r_sd,w1_f_fpc_r_min,w1_f_fpc_r_max,w1_f_cst_r_sd,w1_f_cst_r_min,w1_f_cst_r_max,w5_f_fpc_r_sd,w5_f_fpc_r_min,w5_f_fpc_r_max,w5_f_cst_r_sd,w5_f_cst_r_min,w5_f_cst_r_max,w1_expl_max_sd,w1_expl_max_min,w1_expl_max_max,w5_expl_max_sd,w5_expl_max_min,w5_expl_max_max
SFU07,control,submax35,post,8.46323079941163,22.7207008016576,27.7291462660775,0.00153317075342358,3.3444842280093,1.47204794169017,0.670615576691799,71.6267661923098,58.7721127077367,0.252717914697702,-703,0.179000915708833,93,0.737111513453667,-164,0.674024747516111,8,0.627240373860108,-142,0.249316004633986,8,0.203561303224029,-184,0.636888543835621,-165,0.512708757400548,-132,0.191652289380238,-200,0.410074129103498,-0.612454703627524,0.846008269734805,0.302568366575345,-0.0804693635818887,0.914243107083159,0.121304579796469,0.0983430992745036,0.336885965492315,0.0857852645410651,0.274152560244805,0.423838677719766,13.8006611291796,48.6351796684658,96.2555350865757,11.6295953693364,45.5044868207151,67.2017725116496
SFU08,stretch,submax10,before,8.91516036684752,15.3477545396667,18.5417177690897,0.000834276346964344,3.9642695057502,1.82574032107956,2.8048881538697,68.2229204389318,61.7253427814421,0.703424803328057,262,0.588922473170554,-155,0.866054623161891,-103,0.939656264167975,-35,0.835910987497818,-128,0.555104717594182,-200,0.690657418693228,-178,0.925168674737591,-116,0.904174817259401,-142,0.61963549920571,-200,0.307593238078835,-0.170877645072517,0.96406417257399,0.257953430332484,0.0460955085359232,0.877169239303949,0.100960194210928,0.586958271636987,0.834128781393503,0.142649596638247,0.411270493808752,0.831755212982989,12.1902644781821,43.9642516709954,91.0130420112999,8.93346074365844,48.5482169265878,73.6506834613149
SFU08,stretch,submax10,pre,9.53917375739286,20.238533070111,22.6878458174629,0.000608219472998437,3.32472467129235,1.35245919393158,2.56453147256282,51.7782179044932,38.8579357432465,0.669470422172182,277,0.506035257087856,-139,0.721752295324303,-105,0.834395059039417,-19,0.794122923246134,-112,0.541856137189253,-138,0.505643414800939,-130,0.746025795143065,-111,0.819370986834139,-133,0.61450349037511,-159,0.335855154068139,-0.309052207570985,0.896141971873453,0.186097528468323,0.195209585761932,0.944475917376625,0.233993415621338,0.0484417887175773,0.757323371500639,0.1437402532235,0.412073837964639,0.797097638689037,9.71824017632365,38.8022322438584,70.1492500934766,9.53801112601667,26.6006540604041,52.6442109942202
SFU08,stretch,submax10,post,9.84731056174865,17.1785144443914,19.0391719355986,0.000684480363740814,3.24600297124409,1.3205009625315,2.69148633998419,51.1543680623138,36.7831604818185,0.52645232713657,143,0.539610318041854,-90,0.673811346139129,-64,0.452703562883714,9,0.739911655258197,-97,0.433454675315844,-98,0.435070894835554,-97,0.497265175764964,-92,0.827960820335129,-113,0.515406036071428,-115,0.231183547179542,-0.104976320555063,0.909920120116275,0.249023453899912,0.102288059707613,0.929832915653539,0.134875321363789,0.379222700471124,0.668021901131978,0.185646382280185,0.294212655085207,0.71953117139838,12.4901918897161,30.0823828361049,79.9867241749744,7.40944572083375,29.673095519538,46.1534641444625
SFU08,stretch,submax35,before,12.1034954907439,14.2644937350124,13.0560307756533,0.0021444041812601,3.48481041826452,1.67101896997566,1.31675438101282,60.5624434987172,50.8316755451281,0.48179188238929,183,0.57255308065995,-108,0.842969763397858,-71,0.918446302099652,-3,0.769165247368729,-73,0.420293885503436,-86,0.597091773016563,-120,0.845714200996433,-80,0.84029514627564,-87,0.443720877938567,-129,0.317436442257514,-0.222926967800595,0.931955498838299,0.280096360577865,-0.0345371151152234,0.942999833821982,0.153164488320387,0.337663270778263,0.765497098912738,0.163918853700298,0.240381567981767,0.675162610863848,13.1273391586204,40.3176759544048,82.0080721094419,9.1791006698142,42.5035213239622,63.0150354827364
SFU08,stretch,submax35,pre,9.79692413095345,30.7270774258004,33.5224459421566,0.00351862057069804,2.89465589605387,1.35053648234657,0.644217619696923,61.8464202272852,52.5507175437387,0.297586905676474,-36,0.177817735048045,51,0.45580230241163,-123,0.246842491600902,-66,0.100767640418998,-28,0.117613617973332,-200,0.261112932433202,11,0.306578874431442,-104,0.233922476796623,-200,0.145999950838432,-200,0.33131057579332,-0.336104109886769,0.855033236402369,0.240435928722991,-0.230447533554991,0.708585567909796,0.280055335891236,-0.0767044754813602,0.642190381200933,0.182027319400662,0.0648204039236251,0.563485734518956,12.5645542381255,35.7788575969389,86.1232997860123,23.1742495470725,29.2934148297211,96.580199288698
SFU08,stretch,submax35,post,12.2485608023837,32.8815157285377,30.5102069622916,0.00275121216823418,3.06890430405769,1.46331471459548,0.748104993043352,63.2508179325357,52.4184030555371,0.129929375696418,845,0.154004338471853,-38,0.551557273280126,-86,0.272359863828995,90,0.253966250466032,33,0.287078320950909,14,0.124446719353219,18,0.422033439891208,-84,0.3518850462788,-56,0.185838640846594,35,0.335042037298645,-0.412635621073633,0.831447968573809,0.275164606490417,-0.157635917528115,0.799688654536791,0.163361823626621,0.0144097654421356,0.43405226607186,0.168667010291022,0.00144753535540463,0.39486945034469,15.2074477312302,43.2087295313345,96.7971839620004,18.8536528187974,37.490717285797,81.1611873287291
SFU08,control,submax10,before,8.36831262296978,13.9523326212109,17.8786316306216,0.000496935440257507,3.88378658984998,1.83076335271902,4.4299594145938,61.0348619517406,54.9026369723556,0.622906141606431,-50,0.589019074470986,-125,0.855768284789654,-106,0.942925929380313,-4,0.863138255828684,-114,0.615754274587127,-158,0.602988336865059,-120,0.875989825964906,-110,0.918079994814225,-119,0.638892733359452,-135,0.327914201022761,-0.435105015665498,0.962575168666415,0.209600757341521,-0.158338445150889,0.948912520796892,0.183352075980484,0.375139827728868,0.861923423013292,0.188775470772699,0.317490756793095,0.815914284008074,14.5686888151148,37.4296410023553,86.7262086311787,10.6764962792939,42.6315068143896,69.5046508755013
SFU08,control,submax10,pre,8.87659899427734,18.8969801110383,22.4048014937614,0.000655074362081008,3.87961998563153,1.77797905485928,5.01482372668601,60.5379498289387,52.0269079464162,0.552425079145701,333,0.559033828016066,-152,0.851188520078958,-116,0.927817209375143,-4,0.800297523771811,-125,0.596311015527968,-188,0.572961425694541,-146,0.883369133938443,-134,0.864192162497382,-137,0.639101059945073,-181,0.256475199932743,-0.0620364922900695,0.866308188343334,0.156854263235026,0.289117707526351,0.872326815449921,0.101952768367506,0.532937707815162,0.801833848066258,0.107734907877349,0.475384993743021,0.778748779679898,14.5566124892369,33.5928922552876,91.3718305856771,13.8920203128684,30.2009671635443,71.7342459648828
SFU08,control,submax10,post,8.67872254958659,15.9726101311327,19.4921806313025,0.000535351949835206,3.94320048890006,1.81819866195253,4.59532628770391,61.9609892239555,56.09594167488,0.561065893253853,65,0.50289113135039,-133,0.860390634468242,-111,0.934025995853328,-6,0.863249953639337,-116,0.550159992094976,-145,0.497484165859194,-140,0.884601732498176,-121,0.900438632564786,-128,0.558775923528472,-144,0.314570619970223,-0.251763881277935,0.876627805190915,0.251363468559629,-0.0990644049056464,0.774798354289927,0.307104695513899,-0.0558106524800984,0.79011784847386,0.258466938631115,0.0814083107908877,0.767321209303521,13.5279482732628,38.4150781784228,84.9865524155411,10.3945464114304,41.0828209472575,69.705538736437
