subject,day,level,time,cst_sd,cst_mean,cst_cv,f_sd,f_mean,f_cv,hpf_cst_sd,hpf_f_sd,bad_wins,window
SFU01,stretch,submax10,before,0,0,0,0,0,0,0,0,1,1
SFU01,stretch,submax10,before,0,0,0,0,0,0,0,0,1,2
SFU01,stretch,submax10,before,0,0,0,0,0,0,0,0,1,3
SFU01,stretch,submax10,before,0,0,0,0,0,0,0,0,1,4
SFU01,stretch,submax10,before,0,0,0,0,0,0,0,0,1,5
SFU01,stretch,submax10,before,0,0,0,0,0,0,0,0,1,6
SFU01,stretch,submax10,pre,1.971635451,58.41734243,5.34111776,0.001558955,0.053838416,2.895618719,1.971635451,0.000803589,0,1
SFU01,stretch,submax10,pre,3.180620215,60.3686731,6.053538821,0.001283248,0.055360183,2.317998159,3.180620215,0.000896223,0,2
SFU01,stretch,submax10,pre,2.460598817,63.11329879,5.831594051,0.001455091,0.055999079,2.598419449,2.460598817,0.000680342,0,3
SFU01,stretch,submax10,pre,1.927274017,62.75624136,4.201101284,0.000947452,0.054506957,1.738222028,1.927274017,0.000773104,0,4
SFU01,stretch,submax10,pre,1.715111651,65.45483289,3.29822931,0.000918115,0.055730725,1.64741201,1.715111651,0.000515486,0,5
SFU01,stretch,submax10,pre,1.789499523,65.57745895,5.34271982,0.001356912,0.055817437,2.43098288,1.789499523,0.000655233,0,6
SFU01,stretch,submax10,post,1.738308129,29.32506505,24.86090002,0.002287079,0.054500732,4.196419038,1.738308129,0.001263854,0,1
SFU01,stretch,submax10,post,1.081693093,39.62750003,4.435523362,0.001138909,0.056145766,2.028485115,1.081693093,0.000554529,0,2
SFU01,stretch,submax10,post,1.811177945,45.17013455,6.524796938,0.001397692,0.055155773,2.534081764,1.811177945,0.0006604,0,3
SFU01,stretch,submax10,post,1.611643106,47.57012251,4.043816892,0.001092822,0.055498882,1.969088515,1.611643106,0.00043719,0,4
SFU01,stretch,submax10,post,1.591850043,50.51443232,4.2040374,0.001009905,0.055851377,1.808200943,1.591850043,0.000450856,0,5
SFU01,stretch,submax10,post,1.293492649,53.31786194,3.39613758,0.000981386,0.056730154,1.729918963,1.293492649,0.000398783,0,6
SFU01,stretch,submax35,before,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
SFU01,stretch,submax35,before,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2
SFU01,stretch,submax35,before,2.660222016,59.58631219,6.775123929,0.002719402,0.221382772,1.228371324,2.660222016,0.001210696,0,3
SFU01,stretch,submax35,before,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,4
SFU01,stretch,submax35,before,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,5
SFU01,stretch,submax35,before,4.101383711,60.05416444,7.935522524,0.002790064,0.22044047,1.265676636,4.101383711,0.002501972,0,6
SFU01,stretch,submax35,pre,1.958939602,71.06435031,4.69492096,0.003184199,0.216294335,1.472160038,1.958939602,0.001843041,0,1
SFU01,stretch,submax35,pre,2.472057768,71.68756302,5.747277424,0.003338424,0.218280178,1.529421358,2.472057768,0.001874436,0,2
SFU01,stretch,submax35,pre,2.971430031,70.51680924,5.831699384,0.003354032,0.217301926,1.543489405,2.971430031,0.001847198,0,3
SFU01,stretch,submax35,pre,2.518020537,70.18328176,5.991761006,0.002844055,0.218596002,1.301055484,2.518020537,0.001424896,0,4
