subject,day,level,time,f_sd,cst_sd,fpc_sd,f_cst_r,fpc_cst_r,f_fpc_r,w
SFU01,control,submax35,before,0.001009464,1.914822304,0.009194858,0.642282909,0.847961177,0.869939026,3
SFU01,control,submax35,before,0.000736402,1.615552235,0.008801329,0.624273766,0.764331239,0.645488154,4
SFU01,control,submax35,before,0.000613143,1.552980435,0.008958249,0.594022039,0.783238335,0.860764824,5
SFU01,control,submax35,before,0.000525195,1.250836568,0.008380141,0.721684112,0.833971357,0.718349675,6
SFU01,control,submax35,pre,0.001090795,1.097917128,0.005078885,0.55496801,0.001042738,-0.110068042,1
SFU01,control,submax35,pre,0.000761768,0.816795701,0.003622662,0.608488004,0.214466723,-0.042654828,2
SFU01,control,submax35,pre,0.000898054,1.066981923,0.008872133,0.630468631,0.798798204,0.796819311,3
SFU01,control,submax35,pre,0.001171986,0.982054413,0.008757265,0.696650094,0.825663374,0.856244258,4
SFU01,control,submax35,pre,0.001175197,1.407087493,0.008980677,0.603202582,0.79401064,0.871574381,5
SFU01,control,submax35,pre,0.000876293,1.335243443,0.008101381,0.604225136,0.915576525,0.736007374,6
SFU01,control,submax35,post,0.001232338,1.264487051,0.006950668,0.583755291,0.459743558,0.389803376,1
SFU01,control,submax35,post,0.001309759,1.166934355,0.00363963,0.58647388,0.119596843,0.586662781,2
SFU01,control,submax35,post,0.001055886,1.090931581,0.008937769,0.734094926,0.795027846,0.837831844,3
SFU01,control,submax35,post,0.001879402,1.856880166,0.009438102,0.803885363,0.928305102,0.921831637,4
SFU01,control,submax35,post,0.000707923,1.023573153,0.008353764,0.766587783,0.771209733,0.84185844,5
SFU01,control,submax35,post,0.001419158,4.965284145,0,0,0,0,6
SFU02,stretch,submax10,before,0.000555788,0.371133915,0.006978417,0.483982427,0.16093172,0.440982952,1
SFU02,stretch,submax10,before,0.00063948,0.480189991,0.009763062,0.751187631,0.961594062,0.811887886,2
SFU02,stretch,submax10,before,0.000294961,0.221312108,0.009185312,0.422774673,0.807658408,0.410782631,3
SFU02,stretch,submax10,before,0.000321893,0.726083854,0.009751537,0.183517741,0.911357459,0.317744363,4
SFU02,stretch,submax10,before,0.000324011,0.693780956,0.00974146,0.026506662,0.937255468,-0.030317211,5
SFU02,stretch,submax10,before,0.000317887,0.246281452,0.00961759,0.304069462,0.878489508,0.250885535,6
SFU02,stretch,submax10,pre,0.000393006,0.54598897,0.009209423,0.513100489,0.850852837,0.620338732,1
SFU02,stretch,submax10,pre,0.00036253,0.414785265,0.008598757,0.074510529,0.663286465,0.260203031,2
SFU02,stretch,submax10,pre,0.000311108,0.53808938,0.009608362,0.409769983,0.958130209,0.405513472,3
SFU02,stretch,submax10,pre,0.000281147,0.485152953,0.009620919,0.400355358,0.792344618,0.538749824,4
SFU02,stretch,submax10,pre,0.000309543,0.430217192,0.009490154,0.208101462,0.936740279,0.272886264,5
SFU02,stretch,submax10,pre,0.0003403,0.696640288,0.009760836,0.542550714,0.834792695,0.669968592,6
SFU02,stretch,submax10,post,0.000457133,0.7540034,0.009101979,0.472700918,0.887933471,0.584068605,1
SFU02,stretch,submax10,post,0.000401044,0.56284035,0.009413044,0.155533783,0.907126354,0.270118637,2
SFU02,stretch,submax10,post,0.000404606,0.664185476,0.009713659,0.196491747,0.820663008,0.329962876,3
SFU02,stretch,submax10,post,0.000399522,0.671328601,0.009803285,0.255102886,0.9100175,0.194180564,4
SFU02,stretch,submax10,post,0.000354727,0.468357174,0.009315982,0.28838054,0.881484281,0.242353603,5
SFU02,stretch,submax10,post,0.000353271,0.365357831,0.00915083,0.066548918,0.75217029,0.14628988,6
SFU02,stretch,submax35,before,0.001668212,3.32450514,0.008705579,0.724289804,0.612109041,0.747901029,1
SFU02,stretch,submax35,before,0.001577551,3.168835687,0.007934411,0.764370856,0.601024228,0.646122719,2
SFU02,stretch,submax35,before,0.001522011,4.080720583,0.009602148,0.799113802,0.941085611,0.799556484,3
SFU02,stretch,submax35,before,0.000864108,2.767992639,0.009391736,0.764108593,0.981029172,0.800632517,4
SFU02,stretch,submax35,before,0.00076829,1.964014107,0.009160116,0.367277279,0.828885619,0.629854187,5
SFU02,stretch,submax35,before,0.001224678,3.348866394,0.009611619,0.71351204,0.870683553,0.823965531,6
SFU02,stretch,submax35,pre,0.001650519,3.110588251,0.008828339,0.769473895,0.93273378,0.845575277,1
SFU02,stretch,submax35,pre,0.001204561,3.117826277,0.009571201,0.807523138,0.909114933,0.618549369,2
SFU02,stretch,submax35,pre,0.001535499,2.948442001,0.009028584,0.746131626,0.906058896,0.67785173,3
SFU02,stretch,submax35,pre,0.001787968,2.972200771,0.009655097,0.675713207,0.896042864,0.639717645,4
SFU02,stretch,submax35,pre,0.001414816,3.225365328,0.009769976,0.708656966,0.829350127,0.824901756,5
SFU02,stretch,submax35,pre,0.00092953,2.447606487,0.009180434,0.413544858,0.609662632,0.549872074,6
SFU02,stretch,submax35,post,0.001732274,4.008596689,0.007169213,0.809795317,0.439032741,0.55712303,1
SFU02,stretch,submax35,post,0.001053405,2.882738646,0.005621615,0.730299528,0.239261392,0.235556768,2
SFU02,stretch,submax35,post,0.001032849,3.097961596,0.004113043,0.651941195,0.358738732,0.524263062,3
SFU02,stretch,submax35,post,0.000990295,3.645661856,0.008799579,0.754518629,0.891773485,0.733576173,4
SFU02,stretch,submax35,post,0.000893602,2.852433688,0.008553461,0.835571636,0.911834867,0.771292414,5
SFU02,stretch,submax35,post,0.000949076,2.283641132,0.007146341,0.756120086,0.327469035,0.333377842,6
SFU02,control,submax10,before,0.000621138,0.847143048,0.009464232,0.703500054,0.950048446,0.750590032,1
SFU02,control,submax10,before,0.000553102,0.536452388,0.009289568,0.258493311,0.696794125,0.537188411,2
SFU02,control,submax10,before,0.000495023,0.520049918,0.009165211,0.437332197,0.930648368,0.510307958,3
SFU02,control,submax10,before,0.00041227,0.550135555,0.00949134,0.547583248,0.839725528,0.511518301,4
SFU02,control,submax10,before,0.000296843,0.486026925,0.009218316,0.281610499,0.797493061,0.262145644,5
SFU02,control,submax10,before,0.000727699,0.862376461,0.009467472,0.384814833,0.688732015,0.648071321,6
SFU02,control,submax10,pre,0.000621309,1.409532629,0.009305449,0.751387259,0.804869448,0.759731967,1
SFU02,control,submax10,pre,0.000480835,1.150818735,0.009771376,0.655637298,0.933702194,0.739693546,2
SFU02,control,submax10,pre,0.000526697,1.29610911,0.009942793,0.793109269,0.946911067,0.838218051,3
SFU02,control,submax10,pre,0.000388899,0.758257296,0.009874006,0.597365437,0.938140498,0.658442036,4
SFU02,control,submax10,pre,0.000339674,0.632654814,0.009638625,0.310576809,0.76328323,0.509844139,5
SFU02,control,submax10,pre,0.000331026,0.864967233,0.009774531,0.28614146,0.908016692,0.444189613,6
SFU02,control,submax10,post,0.000411862,0.34949879,0.008468188,0.568351538,0.782848092,0.627290407,1
SFU02,control,submax10,post,0.000358805,0.35313975,0.00953413,0.469239792,0.892717598,0.452754945,2
SFU02,control,submax10,post,0.000437375,0.375898129,0.009435268,0.603552603,0.863671104,0.480769578,3
SFU02,control,submax10,post,0.000378874,0.283089194,0.009715262,0.283213713,0.782750968,0.431594082,4
SFU02,control,submax10,post,0.000482851,0.498339034,0.009840139,0.659788208,0.859131268,0.644410704,5
SFU02,control,submax10,post,0.000421671,0.523147507,0.009637533,0.490140965,0.779654426,0.526247432,6
SFU02,control,submax35,before,0.003038144,3.027864242,0.008043491,0.876671697,0.78430393,0.760387983,1
SFU02,control,submax35,before,0.002023772,2.175080497,0.008766921,0.79868105,0.87198027,0.786661763,2
SFU02,control,submax35,before,0.001447397,2.437704594,0.009347608,0.763732635,0.945871326,0.83905809,3
SFU02,control,submax35,before,0.00153093,2.074757913,0.009178685,0.743072956,0.920302546,0.750845473,4
SFU02,control,submax35,before,0.001315713,2.973567936,0.009730446,0.778991535,0.895336258,0.665810904,5
SFU02,control,submax35,before,0.002044794,3.360236195,0.009740864,0.646887186,0.8258859,0.799028863,6
